dqn_allStages_v3_simple_400000,419.10,274.41,499.69,283.10,0.0000,0.0000
ppo_allStages_v3_simple_400000,409.56,206.83,481.03,216.51,0.0000,0.0000
ppo_daytimeCastleStages_v3_simple_2048000,562.22,254.95,634.22,260.30,0.0000,0.0000
dqn_daytimeCastleStages_v3_simple_2048000,390.46,215.43,476.55,222.20,0.0000,0.0000
dqn_daytimeCastleStages_v2_simple_2048000,505.14,334.81,577.43,341.68,0.0000,0.0000
ppo_daytimeCastleStages_v2_simple_2048000,578.18,280.90,652.31,288.12,0.0000,0.0000
ppo_daytimeCastleStages_v1_simple_2048000,579.17,216.66,651.85,221.50,0.0000,0.0000
ppo_daytimeCastleStages_v0_simple_2048000,552.34,210.56,624.46,215.45,0.0000,0.0000
dqn_daytimeCastleStages_v0_simple_2048000,382.45,174.34,460.86,181.15,0.0000,0.0000
dqn_daytimeCastleStages_v1_simple_2048000,456.15,202.34,527.82,208.37,0.0000,0.0000
