Level,Reward Avg,Reward Std,Distance Avg,Distance Std,Completion Rate
1-1,241.4,6.56,305.6,6.47,0.0
1-3,348.4,3.38,413.8,3.19,0.0
2-1,320.2,123.9,387.2,130.4,0.0
2-3,1284.8,104.93,1368.6,106.74,0.0
4-1,1058.8,343.46,1137.2,347.18,0.0
5-1,243.2,83.88,307.0,85.41,0.0
5-2,652.6,279.09,740.0,294.39,0.0
5-3,352.2,3.71,418.0,3.58,0.0
7-1,326.8,21.71,392.8,22.44,0.0
7-3,707.8,246.04,786.2,248.16,0.0
8-1,365.2,134.79,431.2,137.05,0.0
8-2,197.2,66.46,260.6,68.18,0.0
8-3,468.2,253.85,558.4,299.09,0.0
