Level,Reward Avg,Reward Std,Distance Avg,Distance Std,Completion Rate
1-1,913.4,427.34,997.2,440.3,0.0
1-3,289.8,61.9,355.4,63.21,0.0
2-1,499.8,304.05,576.4,320.06,0.0
2-3,698.4,514.35,773.8,526.05,0.0
4-1,443.0,31.92,509.4,31.47,0.0
5-1,195.8,33.91,258.0,34.52,0.0
5-2,496.0,249.1,570.0,257.41,0.0
5-3,257.6,62.9,321.6,65.92,0.0
7-1,630.4,416.42,710.2,436.11,0.0
7-3,434.8,64.25,503.4,66.17,0.0
8-1,274.2,1.6,337.6,1.36,0.0
8-2,313.6,228.33,388.0,241.96,0.0
8-3,483.2,131.79,560.6,136.61,0.0
