Level,Reward Avg,Reward Std,Distance Avg,Distance Std,Completion Rate
1-1,635.6,427.1,710.8,440.99,0.0
1-3,284.8,56.77,349.2,57.36,0.0
2-1,574.8,178.77,651.6,187.11,0.0
2-3,948.6,106.33,1025.4,106.7,0.0
4-1,721.0,409.93,796.2,417.12,0.0
5-1,334.4,259.98,400.4,265.17,0.0
5-2,516.6,190.51,592.2,194.06,0.0
5-3,380.0,163.32,445.4,165.72,0.0
7-1,503.0,157.46,574.2,162.91,0.0
7-3,887.8,210.73,962.0,214.58,0.0
8-1,218.8,137.2,282.4,139.39,0.0
8-2,341.6,237.06,409.6,245.42,0.0
8-3,961.8,107.12,1045.4,110.64,0.0
