Level,Reward Avg,Reward Std,Distance Avg,Distance Std,Completion Rate
1-1,508.6,355.34,579.6,366.95,0.0
1-3,366.4,92.48,432.0,94.17,0.0
2-1,489.6,251.85,564.4,262.17,0.0
2-3,941.2,266.76,1017.4,271.31,0.0
4-1,588.6,327.82,658.0,332.92,0.0
5-1,464.0,358.68,532.4,366.93,0.0
5-2,520.4,281.28,595.4,290.99,0.0
5-3,260.6,38.31,324.8,39.28,0.0
7-1,441.4,206.03,512.0,213.29,0.0
7-3,694.6,432.33,770.0,438.26,0.0
8-1,909.4,471.08,990.8,483.35,0.0
8-2,452.0,269.19,522.4,277.09,0.0
8-3,892.4,221.67,974.8,227.92,0.0
